List[000] (add: 0x7ffd368be530, number_of_elements: 0000) : 
List[001] (add: 0x7ffd368be548, number_of_elements: 0000) : 
List[002] (add: 0x7ffd368be560, number_of_elements: 0000) : 
List[003] (add: 0x7ffd368be578, number_of_elements: 0000) : 
List[004] (add: 0x7ffd368be590, number_of_elements: 0000) : 
List[005] (add: 0x7ffd368be5a8, number_of_elements: 0000) : 
List[006] (add: 0x7ffd368be5c0, number_of_elements: 0000) : 
List[007] (add: 0x7ffd368be5d8, number_of_elements: 0000) : 
List[008] (add: 0x7ffd368be5f0, number_of_elements: 0000) : 
List[009] (add: 0x7ffd368be608, number_of_elements: 0000) : 
List[010] (add: 0x7ffd368be620, number_of_elements: 0000) : 
List[011] (add: 0x7ffd368be638, number_of_elements: 0000) : 
List[012] (add: 0x7ffd368be650, number_of_elements: 0000) : 
List[013] (add: 0x7ffd368be668, number_of_elements: 0000) : 
List[014] (add: 0x7ffd368be680, number_of_elements: 0000) : 
List[015] (add: 0x7ffd368be698, number_of_elements: 0000) : 
List[016] (add: 0x7ffd368be6b0, number_of_elements: 0000) : 
List[017] (add: 0x7ffd368be6c8, number_of_elements: 0000) : 
List[018] (add: 0x7ffd368be6e0, number_of_elements: 0000) : 
List[019] (add: 0x7ffd368be6f8, number_of_elements: 0000) : 
